,Sin_consanguinidad,PI_HAT_0.5,PI_HAT_0.25,PI_HAT_0.20,PI_HAT_0.125,PI_HAT_0.05
Total,168,168,159,130,36,9
Kichwa,17,17,16,9,0,0
Awajun,14,14,11,2,0,0
Inga,13,13,11,10,6,4
La Jalca,11,11,11,9,1,0
Luya,11,11,11,11,5,0
Wayku,10,10,10,9,0,0
Cao,10,10,10,10,7,3
Cusco,10,10,10,10,4,2
Cocama,10,10,9,7,1,0
Tumbes,8,8,8,8,6,4
Tallan,8,8,8,6,0,0
Chulucanas,8,8,8,8,7,2
Puno,7,7,7,5,0,0
Narihuala,5,5,5,5,0,0
Eten,5,5,5,5,0,0
Huancas,5,5,5,5,1,1
Kamentsa,4,4,4,3,1,1
Olmos,4,4,3,3,1,1
Chotuna,4,4,4,3,0,0
Utcubamba,4,4,4,4,3,2
Cofan,4,4,4,3,2,0
Sechura,3,3,3,3,2,0
Paran,3,3,2,2,1,1
Muniche,2,2,2,2,0,0
Shawi,1,1,1,1,1,1
Chamicuro,1,1,1,1,1,1
